Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.00953557855	0	0	0	0	0	0	0	0	0	0	3
2	6	0	0.0190711571	0	0	0	0	0	0	0	0	0	0	3
3	7	0	0.0286067357	0	0	0	0	0	0	0	0	0	0	3
4	8	0	0.0381423142	0	0	0	0	0	0	0	0	0	0	3
5	9	0	0.0476778928	0	0	0	0	0	0	0	0	0	0	3
6	10	0	0.0572134713	0	0	0	0	0	0	0	0	0	0	3
7	11	0	0.0667490499	0	0	0	0	0	0	0	0	0	0	3
8	11	0	0.0762846284	0	0	0	0	0	0	0	0	0	0	3
9	12	0	0.085820207	0	0	0	0	0	0	0	0	0	0	3
10	13	0	0.0953557855	0	0	0	0	0	0	0	0	0	0	3
11	14	0	0.104891364	0	0	0	0	0	0	0	0	0	0	3
12	15	0	0.114426943	0	0	0	0	0	0	0	0	0	0	3
13	16	0	0.123962521	0	0	0	0	0	0	0	0	0	0	3
14	17	0	0.1334981	0	0	0	0	0	0	0	0	0	0	3
15	18	0	0.143033678	0	0	0	0	0	0	0	0	0	0	3
16	19	0	0.152569257	0	0	0	0	0	0	0	0	0	0	3
17	20	0	0.162104835	0	0	0	0	0	0	0	0	0	0	3
18	21	0	0.171640414	0	0	0	0	0	0	0	0	0	0	3
19	22	0	0.181175993	0	0	0	0	0	0	0	0	0	0	3
20	23	0	0.190711571	0	0	0	0	0	0	0	0	0	0	3
21	24	0	0.20024715	0	0	0	0	0	0	0	0	0	0	3
22	25	0	0.209782728	0	0	0	0	0	0	0	0	0	0	3
23	26	0	0.219318307	0	0	0	0	0	0	0	0	0	0	3
24	27	0	0.228853885	0	0	0	0	0	0	0	0	0	0	3
25	28	0	0.238389464	0	0	0	0	0	0	0	0	0	0	3
26	30	0	0.247925042	0	0	0	0	0	0	0	0	0	0	3
27	31	0	0.257460621	0	0	0	0	0	0	0	0	0	0	3
28	32	0	0.266996199	0	0	0	0	0	0	0	0	0	0	3
29	34	0	0.276531778	0	0	0	0	0	0	0	0	0	0	3
30	34	0	0.286067357	0	0	0	0	0	0	0	0	0	0	3
31	36	0	0.295602935	0	0	0	0	0	0	0	0	0	0	3
