Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00866235644	-252.231328	-252.231328	-252.231328	-252.231328	0	0.5	0	0	1	0	3
2	7	0	0.0173247129	-340.301684	-296.266506	-340.301684	-252.231328	44.0351778	0.5	0	0	1	0	3
3	8	0	0.0259870693	-414.237478	-335.590163	-414.237478	-252.231328	83.3588351	0.5	0	0	1	0	3
4	9	0	0.0346494258	-444.654853	-362.856336	-444.654853	-252.231328	110.625008	0.5	0	0	1	0	3
5	10	0	0.0433117822	-447.564702	-379.798009	-447.564702	-252.231328	127.566681	0.5	0	0	1	0	3
6	11	0	0.0519741386	-415.031777	-385.670304	-447.564702	-252.231328	133.438975	0.5	0	0	1	0	3
7	12	0	0.0606364951	-366.952577	-382.996343	-447.564702	-252.231328	133.438975	0.5	0	0	1	0	3
8	13	0	0.0692988515	-325.270457	-375.780607	-447.564702	-252.231328	133.438975	0.5	0	0	1	0	3
9	14	0	0.077961208	-296.015619	-366.91783	-447.564702	-252.231328	133.438975	0.5	0	0	1	0	3
10	15	0	0.0866235644	-273.238293	-357.549877	-447.564702	-252.231328	133.438975	0.5	0	0	1	0	3
11	16	0	0.0952859208	-252.727026	-348.020527	-447.564702	-252.231328	133.438975	0.5	0	0	1	0	3
12	17	0	0.103948277	-238.815875	-338.920139	-447.564702	-238.815875	133.438975	0.5	0	0	1	0	3
13	18	0	0.112610634	-233.126666	-330.78218	-447.564702	-233.126666	133.438975	0.5	0	0	1	0	3
14	19	0	0.12127299	-231.078991	-323.660523	-447.564702	-231.078991	133.438975	0.5	0	0	1	0	3
15	20	0	0.129935347	-231.316341	-317.504244	-447.564702	-231.078991	133.438975	0.5	0	0	1	0	3
16	21	0	0.138597703	-227.091203	-311.853429	-447.564702	-227.091203	133.438975	0.5	0	0	1	0	3
17	23	0	0.147260059	-224.906839	-306.738924	-447.564702	-224.906839	133.438975	0.5	0	0	1	0	3
18	24	0	0.155922416	-224.389175	-302.163938	-447.564702	-224.389175	133.438975	0.5	0	0	1	0	3
