Iteration	CPUTime	PhysTime	Travels
1	6	0	0.00866235644
2	7	0	0.0173247129
3	8	0	0.0259870693
4	9	0	0.0346494258
5	10	0	0.0433117822
6	11	0	0.0519741386
7	12	0	0.0606364951
8	13	0	0.0692988515
9	14	0	0.077961208
10	15	0	0.0866235644
11	16	0	0.0952859208
12	17	0	0.103948277
13	18	0	0.112610634
14	19	0	0.12127299
15	20	0	0.129935347
16	21	0	0.138597703
17	23	0	0.147260059
18	24	0	0.155922416
19	25	0	0.164584772
20	26	0	0.173247129
21	27	0	0.181909485
22	28	0	0.190571842
23	29	0	0.199234198
24	30	0	0.207896555
25	31	0	0.216558911
26	33	0	0.225221267
27	34	0	0.233883624
28	35	0	0.24254598
29	36	0	0.251208337
30	37	0	0.259870693
31	38	0	0.26853305
32	40	0	0.277195406
33	41	0	0.285857762
34	42	0	0.294520119
35	43	0	0.303182475
36	44	0	0.311844832
37	45	0	0.320507188
38	47	0	0.329169545
39	48	0	0.337831901
40	49	0	0.346494258
41	50	0	0.355156614
42	51	0	0.36381897
43	53	0	0.372481327
44	54	0	0.381143683
45	55	0	0.38980604
46	56	0	0.398468396
47	58	0	0.407130753
48	59	0	0.415793109
49	60	0	0.424455466
50	61	0	0.433117822
51	63	0	0.441780178
52	64	0	0.450442535
53	65	0	0.459104891
54	66	0	0.467767248
55	67	0	0.476429604
56	69	0	0.485091961
57	70	0	0.493754317
58	71	0	0.502416673
59	72	0	0.51107903
60	73	0	0.519741386
61	74	0	0.528403743
62	76	0	0.537066099
63	77	0	0.545728456
64	78	0	0.554390812
65	79	0	0.563053169
66	80	0	0.571715525
67	81	0	0.580377881
68	83	0	0.589040238
69	84	0	0.597702594
70	85	0	0.606364951
71	86	0	0.615027307
72	87	0	0.623689664
73	88	0	0.63235202
74	89	0	0.641014377
75	91	0	0.649676733
76	92	0	0.658339089
77	93	0	0.667001446
78	94	0	0.675663802
79	95	0	0.684326159
80	96	0	0.692988515
81	97	0	0.701650872
82	98	0	0.710313228
83	99	0	0.718975584
84	101	0	0.727637941
85	102	0	0.736300297
86	103	0	0.744962654
87	104	0	0.75362501
88	105	0	0.762287367
89	106	0	0.770949723
90	107	0	0.77961208
91	108	0	0.788274436
92	110	0	0.796936792
93	111	0	0.805599149
94	112	0	0.814261505
95	113	0	0.822923862
96	114	0	0.831586218
97	115	0	0.840248575
98	116	0	0.848910931
99	117	0	0.857573287
100	119	0	0.866235644
101	122	0	0.874898
102	123	0	0.883560357
103	124	0	0.892222713
104	125	0	0.90088507
105	126	0	0.909547426
106	127	0	0.918209783
107	129	0	0.926872139
108	130	0	0.935534495
109	131	0	0.944196852
110	132	0	0.952859208
111	133	0	0.961521565
112	134	0	0.970183921
113	136	0	0.978846278
114	137	0	0.987508634
115	138	0	0.996170991
116	139	0	1.00483335
117	140	0	1.0134957
118	141	0	1.02215806
119	142	0	1.03082042
120	143	0	1.03948277
121	145	0	1.04814513
122	146	0	1.05680749
123	147	0	1.06546984
124	148	0	1.0741322
125	149	0	1.08279455
126	150	0	1.09145691
127	151	0	1.10011927
128	152	0	1.10878162
129	153	0	1.11744398
130	155	0	1.12610634
131	156	0	1.13476869
132	157	0	1.14343105
133	158	0	1.15209341
134	159	0	1.16075576
135	160	0	1.16941812
136	161	0	1.17808048
137	162	0	1.18674283
138	163	0	1.19540519
139	164	0	1.20406755
140	166	0	1.2127299
141	167	0	1.22139226
142	168	0	1.23005461
143	169	0	1.23871697
144	170	0	1.24737933
145	171	0	1.25604168
146	172	0	1.26470404
147	173	0	1.2733664
148	174	0	1.28202875
149	175	0	1.29069111
150	177	0	1.29935347
151	178	0	1.30801582
152	179	0	1.31667818
153	180	0	1.32534054
154	181	0	1.33400289
155	182	0	1.34266525
156	183	0	1.3513276
157	184	0	1.35998996
158	185	0	1.36865232
