Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00866235644	101325.845	101325.845	101325.845	101325.845	0	0	0	0	0	0	3
2	7	0	0.0173247129	101326.466	101326.155	101325.845	101326.466	0.310486659	0	0	0	0	0	3
3	8	0	0.0259870693	101326.723	101326.345	101325.845	101326.723	0.499709495	0	0	0	0	0	3
4	9	0	0.0346494258	101326.818	101326.463	101325.845	101326.818	0.617998081	0	0	0	0	0	3
5	10	0	0.0433117822	101327.153	101326.601	101325.845	101327.153	0.756026557	0	0	0	0	0	3
6	11	0	0.0519741386	101327.923	101326.821	101325.845	101327.923	0.976355306	0	0	0	0	0	3
7	12	0	0.0606364951	101329.02	101327.135	101325.845	101329.02	1.29044795	0	0	0	0	0	3
8	13	0	0.0692988515	101330.141	101327.511	101325.845	101330.141	1.66617898	0	0	0	0	0	3
9	14	0	0.077961208	101331.074	101327.907	101325.845	101331.074	2.06204294	0	0	0	0	0	3
10	15	0	0.0866235644	101331.625	101328.279	101325.845	101331.625	2.43380157	0	0	0	0	0	3
11	16	0	0.0952859208	101331.105	101328.536	101325.845	101331.625	2.69073789	0	0	0	0	0	3
12	17	0	0.103948277	101329.137	101328.586	101325.845	101331.625	2.74083588	0	0	0	0	0	3
13	18	0	0.112610634	101325.998	101328.387	101325.845	101331.625	2.74083588	0	0	0	0	0	3
14	19	0	0.12127299	101322.399	101327.959	101322.399	101331.625	2.74083588	0	0	0	0	0	3
15	20	0	0.129935347	101319.152	101327.372	101319.152	101331.625	2.74083588	0	0	0	0	0	3
16	21	0	0.138597703	101316.749	101326.708	101316.749	101331.625	2.74083588	0	0	0	0	0	3
17	23	0	0.147260059	101316.753	101326.122	101316.749	101331.625	2.74083588	0	0	0	0	0	3
18	24	0	0.155922416	101318.212	101325.683	101316.749	101331.625	2.90289122	0	0	0	0	0	3
19	25	0	0.164584772	101319.938	101325.381	101316.749	101331.625	3.20527762	0	0	0	0	0	3
20	26	0	0.173247129	101321.135	101325.168	101316.749	101331.625	3.41755291	0	0	0	0	0	3
21	27	0	0.181909485	101321.809	101325.008	101316.749	101331.625	3.57749643	0	0	0	0	0	3
22	28	0	0.190571842	101323.37	101324.934	101316.749	101331.625	3.65197263	0	0	0	0	0	3
23	29	0	0.199234198	101326.359	101324.996	101316.749	101331.625	3.65197263	0	0	0	0	0	3
