Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.00990857748	0.740944425	0.740944425	0.740944425	0.740944425	0	0	0	0	0	0	3
2	5	0	0.019817155	0.988405812	0.864675118	0.740944425	0.988405812	0.123730693	0	0	0	0	0	3
3	5	0	0.0297257324	1.20453295	0.977961063	0.740944425	1.20453295	0.237016638	0	0	0	0	0	3
4	6	0	0.0396343099	1.30378771	1.05941772	0.740944425	1.30378771	0.3184733	0	0	0	0	0	3
5	7	0	0.0495428874	1.32514188	1.11256256	0.740944425	1.32514188	0.371618131	0	0	0	0	0	3
6	7	0	0.0594514649	1.23916743	1.13366337	0.740944425	1.32514188	0.392718944	0	0	0	0	0	3
7	8	0	0.0693600424	1.09839192	1.12862459	0.740944425	1.32514188	0.392718944	0	0	0	0	0	3
8	9	0	0.0792686198	0.972375531	1.10909346	0.740944425	1.32514188	0.392718944	0	0	0	0	0	3
9	9	0	0.0891771973	0.882864048	1.08395686	0.740944425	1.32514188	0.392718944	0	0	0	0	0	3
10	10	0	0.0990857748	0.812659533	1.05682712	0.740944425	1.32514188	0.392718944	0	0	0	0	0	3
11	10	0	0.108994352	0.749152273	1.02885668	0.740944425	1.32514188	0.392718944	0	0	0	0	0	3
12	11	0	0.11890293	0.706341469	1.00198042	0.706341469	1.32514188	0.392718944	0	0	0	0	0	3
13	12	0	0.128811507	0.689336055	0.97793085	0.689336055	1.32514188	0.392718944	0	0	0	0	0	3
14	12	0	0.138720085	0.683683789	0.956913203	0.683683789	1.32514188	0.392718944	0	0	0	0	0	3
15	13	0	0.148628662	0.685319488	0.938806955	0.683683789	1.32514188	0.392718944	0	0	0	0	0	3
16	14	0	0.15853724	0.672995848	0.922193761	0.672995848	1.32514188	0.392718944	0	0	0	0	0	3
17	14	0	0.168445817	0.66678687	0.907169826	0.66678687	1.32514188	0.392718944	0	0	0	0	0	3
18	15	0	0.178354395	0.665558223	0.893746959	0.665558223	1.32514188	0.392718944	0	0	0	0	0	3
19	16	0	0.188262972	0.662283972	0.881564697	0.662283972	1.32514188	0.392718944	0	0	0	0	0	3
