Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
51	107	0	0.44737567	10.1210139	24.2666267	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
52	109	0	0.456147742	10.223544	23.9965674	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
53	111	0	0.464919814	10.3025265	23.7381893	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
54	113	0	0.473691886	10.3513576	23.490285	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
55	115	0	0.482463958	10.3594455	23.2515425	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
56	117	0	0.49123603	10.348878	23.0211377	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
57	119	0	0.500008102	10.3174961	22.7982668	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
58	121	0	0.508780174	10.2809204	22.7904008	7.77262768	72.2153384	36.0638515	0	0	0	0	0	3
59	123	0	0.517552246	10.239776	22.6174424	7.77262768	72.2153384	31.1669558	0	0	0	0	0	3
60	125	0	0.526324318	10.1943203	22.2681404	7.77262768	72.2153384	29.2095554	0	0	0	0	0	3
61	127	0	0.53509639	10.1485053	21.7428356	7.77262768	72.2153384	29.7348603	0	0	0	0	0	3
62	129	0	0.543868462	10.08971	21.048338	7.77262768	72.2153384	30.4293579	0	0	0	0	0	3
63	131	0	0.552640534	10.0190284	20.2033613	7.77262768	72.2153384	31.2743346	0	0	0	0	0	3
64	133	0	0.561412606	9.92864132	19.2599702	7.77262768	72.2153384	32.2177257	0	0	0	0	0	3
65	135	0	0.570184678	9.8329096	18.2442441	7.77262768	72.2153384	33.2334518	0	0	0	0	0	3
66	137	0	0.57895675	9.74093614	17.1699661	7.77262768	72.2153384	34.3077298	0	0	0	0	0	3
67	139	0	0.587728822	9.66858057	16.0726545	7.77262768	68.2621114	35.4050414	0	0	0	0	0	3
68	141	0	0.596500894	9.61743768	15.0438006	7.77262768	61.8672004	36.4338953	0	0	0	0	0	3
69	143	0	0.605272966	9.58253091	14.1265257	7.77262768	55.5775047	37.3511702	0	0	0	0	0	3
70	145	0	0.614045037	9.56206843	13.3192373	7.77262768	48.9570062	37.9784093	0	0	0	0	0	3
71	147	0	0.622817109	9.54504577	12.6277994	7.77262768	42.701047	34.9284193	0	0	0	0	0	3
72	148	0	0.631589181	9.52594366	12.0457801	7.77262768	36.4907067	28.718079	0	0	0	0	0	3
73	151	0	0.640361253	9.49567186	11.572183	7.77262768	31.5737149	23.8010872	0	0	0	0	0	3
74	154	0	0.649133325	9.45547859	11.1841437	7.77262768	27.7484683	19.9758407	0	0	0	0	0	3
75	157	0	0.657905397	9.40262489	10.8622868	7.77262768	24.5845218	16.8118941	0	0	0	0	0	3
76	160	0	0.666677469	9.35008037	10.5950159	7.77262768	22.0300233	14.2573956	0	0	0	0	0	3
77	163	0	0.675449541	9.29623833	10.3716162	7.77262768	19.8734249	12.1007972	0	0	0	0	0	3
78	166	0	0.684221613	9.24481987	10.1851494	7.77262768	18.0917177	10.31909	0	0	0	0	0	3
79	168	0	0.692993685	9.20271999	10.0292021	7.77262768	16.4476721	8.67504437	0	0	0	0	0	3
80	170	0	0.701765757	9.17634311	9.90163494	7.77262768	14.7090788	6.93645117	0	0	0	0	0	3
81	172	0	0.710537829	9.15721004	9.80423373	7.77262768	12.8301996	5.05757189	0	0	0	0	0	3
82	175	0	0.719309901	9.1515779	9.73969651	7.77262768	10.5938855	2.82125786	0	0	0	0	0	3
83	177	0	0.728081973	9.14536866	9.71428393	7.77262768	10.5181625	2.74553486	0	0	0	0	0	3
84	179	0	0.736854045	9.14520954	9.71906581	7.77262768	10.5181625	2.74553486	0	0	0	0	0	3
85	181	0	0.745626117	9.14250034	9.73986763	7.77262768	10.5181625	2.74553486	0	0	0	0	0	3
86	183	0	0.754398189	9.14336136	9.76391559	8.08533403	10.5181625	2.4328285	0	0	0	0	0	3
87	185	0	0.763170261	9.14206909	9.7824548	8.84186742	10.5181625	1.67629512	0	0	0	0	0	3
88	187	0	0.771942333	9.14328876	9.7877429	9.14206909	10.5181625	1.37609345	0	0	0	0	0	3
89	189	0	0.780714405	9.1403797	9.77843697	9.1403797	10.5181625	1.37778283	0	0	0	0	0	3
90	191	0	0.789486477	9.14103738	9.75892344	9.1403797	10.5181625	1.37778283	0	0	0	0	0	3
91	193	0	0.798258549	9.13619716	9.73486381	9.13619716	10.5181625	1.38196538	0	0	0	0	0	3
92	195	0	0.807030621	9.13422719	9.71058425	9.13422719	10.3594455	1.22521832	0	0	0	0	0	3
93	197	0	0.815802693	9.13171208	9.68969056	9.13171208	10.3594455	1.22773344	0	0	0	0	0	3
94	199	0	0.824574765	9.13290978	9.6730568	9.13171208	10.3594455	1.22773344	0	0	0	0	0	3
95	201	0	0.833346837	9.12908587	9.65846093	9.12908587	10.3594455	1.23035964	0	0	0	0	0	3
96	203	0	0.842118909	9.12918405	9.64425622	9.12908587	10.3594455	1.23035964	0	0	0	0	0	3
97	204	0	0.85089098	9.12363207	9.62957542	9.12363207	10.3594455	1.23581345	0	0	0	0	0	3
98	206	0	0.859663052	9.11994362	9.61478616	9.11994362	10.3594455	1.2395019	0	0	0	0	0	3
99	208	0	0.868435124	9.1131398	9.60004001	9.1131398	10.3594455	1.24630572	0	0	0	0	0	3
100	210	0	0.877207196	9.10890609	9.58573212	9.10890609	10.3594455	1.25053943	0	0	0	0	0	3
101	214	0	0.885979268	9.10431165	9.57204551	9.10431165	10.3594455	1.25513387	0	0	0	0	0	3
102	216	0	0.89475134	9.10129029	9.55911206	9.10129029	10.3594455	1.25815523	0	0	0	0	0	3
103	218	0	0.903523412	9.09534287	9.54668667	9.09534287	10.3594455	1.26410265	0	0	0	0	0	3
104	220	0	0.912295484	9.09160658	9.53434437	9.09160658	10.3594455	1.26783894	0	0	0	0	0	3
105	222	0	0.921067556	9.08634928	9.52140222	9.08634928	10.3594455	1.27309624	0	0	0	0	0	3
106	225	0	0.929839628	9.08667525	9.50713668	9.08634928	10.3594455	1.27309624	0	0	0	0	0	3
107	227	0	0.9386117	9.0846847	9.49097884	9.0846847	10.3594455	1.27476082	0	0	0	0	0	3
108	229	0	0.947383772	9.08736477	9.47284465	9.0846847	10.3594455	1.27476082	0	0	0	0	0	3
109	231	0	0.956155844	9.08931253	9.45294585	9.0846847	10.3594455	1.27476082	0	0	0	0	0	3
110	233	0	0.964927916	9.0974547	9.43180424	9.0846847	10.3594455	1.27476082	0	0	0	0	0	3
111	235	0	0.973699988	9.10302865	9.40990374	9.0846847	10.3594455	1.27476082	0	0	0	0	0	3
112	236	0	0.98247206	9.1156795	9.38808328	9.0846847	10.348878	1.26419331	0	0	0	0	0	3
113	238	0	0.991244132	9.12681569	9.36664359	9.0846847	10.3174961	1.23281143	0	0	0	0	0	3
